"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"JKHY","Technology","Jack Henry & Associates","6.82;6.82;6.87;6.96;0.00","1.56;1.56;1.57;1.52;0.00","6.28;6.28;6.32;6.46;0.00","1.47;1.46;1.47;1.42;0.00","","4","4","1","1","8","5","4","1","Information Technology Services","-3.9%","4.2%","8.2%","2.3%","-3.5%","2.1%","-23.9%","-33.7%","-64.3%","-67.5%","-162.1%"
"LDOS","Technology","Leidos Holdings","12.80;12.87;12.86;12.78;0.00","3.05;3.05;3.04;3.03;0.00","12.32;12.34;12.35;12.32;0.00","2.98;2.99;2.96;2.95;0.00","","1","3","3","2","5","4","3","6","Information Technology Services","0.2%","2.6%","3.6%","-5.0%","-3.0%","-4.8%","16.2%","4.6%","17.1%","21.3%","215.9%"
"IBM","Technology","IBM","12.95;12.95;12.99;13.42;0.00","3.00;2.99;3.01;3.03;0.00","12.18;12.19;12.24;12.41;0.00","1.93;1.94;1.93;1.81;0.00","","4","1","3","2","8","5","2","7","Information Technology Services","-10.6%","2.2%","9.8%","-10.1%","-13.9%","0.7%","-12.2%","4.5%","47.2%","81.6%","-95.1%"
"ACN","Technology","Accenture","14.94;14.88;14.89;14.92;0.00","3.70;3.69;3.70;3.70;0.00","13.83;13.84;13.82;13.84;0.00","2.99;2.86;2.85;2.85;0.00","","1","2","1","1","6","3","3","4","Information Technology Services","-17.9%","1.8%","5.0%","-7.9%","-17.3%","-19.2%","-54.5%","-76.6%","-89.0%","-94.6%","-150.9%"
"CDW","Technology","CDW","11.40;11.39;11.32;11.31;0.00","2.67;2.67;2.66;2.64;0.00","10.59;10.57;10.51;10.51;0.00","2.20;2.20;2.20;2.20;0.00","","1","2","4","1","4","4","4","8","Information Technology Services","-7.4%","0.6%","2.7%","-10.2%","-13.6%","-31.2%","-43.8%","-83.9%","-109.9%","-102.9%","-57.3%"
"IT","Technology","Gartner","14.96;14.91;14.88;14.48;0.00","3.72;3.72;3.72;3.70;0.00","13.49;13.46;13.46;13.17;0.00","3.10;3.08;3.07;2.91;0.00","","2","6","2","1","7","3","3","9","Information Technology Services","-31.5%","0.2%","9.5%","10.9%","-24.8%","-35.9%","-83.8%","-99.3%","-123.7%","-95.9%","-200.4%"
"Summary"," "," "," "," "," "," "," ","2","3","2","1","7","4","3","6"," ","-11.6%","2.3%","6.7%","-1.3%","-12.7%","-16.2%","-33.8%","-45.7%","-50.2%","-42.2%","-63.1%"
"Insurance Brokers (4 Stocks)"
"WTW","Financial Services","Willis Towers Watson","22.21;22.08;22.26;22.43;0.00","3.16;3.12;3.17;3.19;0.00","19.32;19.19;19.32;19.66;0.00","3.67;3.63;3.67;3.71;0.00","","1","4","2","3","6","4","5","5","Insurance Brokers","-6.3%","2.2%","1.3%","-5.4%","-3.7%","-12.1%","-26.1%","-22.5%","-41.5%","-46.1%","-100.4%"
"AON","Financial Services","Aon","21.49;21.47;21.50;21.54;0.00","3.83;3.82;3.87;3.88;0.00","19.07;19.05;19.09;19.10;0.00","6.39;6.38;6.42;6.43;0.00","","2","2","1","2","8","4","4","7","Insurance Brokers","-1.7%","1.9%","3.6%","2.4%","0.5%","-12.3%","-33.3%","-26.1%","-58.9%","-35.8%","-20.7%"
"AJG","Financial Services","Arthur J. Gallagher","15.27;15.16;15.00;14.89;0.00","3.03;3.02;2.98;2.91;0.00","13.44;13.39;13.29;13.24;0.00","4.54;4.55;4.53;4.45;0.00","","3","4","3","6","8","5","1","4","Insurance Brokers","-10.0%","1.0%","2.3%","-2.5%","-2.9%","-27.9%","-50.9%","-41.9%","-50.3%","5.7%","258.5%"
"MRSH","Financial Services","Marsh","","","","","","1","7","2","2","7","3","3","6","Insurance Brokers","0.7%","0.3%","0.1%","1.7%","2.8%","-13.9%","-40.0%","-42.5%","-57.2%","-19.4%","-24.5%"
"Summary"," "," "," "," "," "," "," ","2","4","2","3","7","4","3","6"," ","-4.3%","1.3%","1.8%","-1.0%","-0.8%","-16.5%","-37.6%","-33.2%","-52.0%","-23.9%","28.2%"
"Insurance - Diversified (2 Stocks)"
"BRK.B","Financial Services","Berkshire Hathaway","21.94;21.94;21.94;21.82;0.00","5.34;5.34;5.12;5.08;0.00","20.43;20.43;20.66;21.06;0.00","5.45;5.45;5.45;5.25;0.00","","6","8","2","4","9","8","7","2","Insurance - Diversified","0.8%","1.0%","0.8%","1.0%","0.5%","-4.7%","-18.6%","-11.8%","-15.8%","9.1%","-36.3%"
"HIG","Financial Services","The Hartford Insurance Gr","14.28;14.32;14.44;14.49;0.00","3.34;3.36;3.38;3.37;0.00","13.23;13.26;13.39;13.42;0.00","3.32;3.32;3.37;3.36;0.00","","1","2","1","1","6","4","2","3","Insurance - Diversified","3.0%","1.0%","1.3%","0.9%","9.7%","2.1%","2.5%","12.5%","16.4%","99.3%","-3.8%"
"Summary"," "," "," "," "," "," "," ","4","5","2","3","8","6","5","3"," ","1.9%","1.0%","1.1%","0.9%","5.1%","-1.3%","-8.1%","0.3%","0.3%","54.2%","-20.0%"
"Insurance - Life (1 Stock)"
"AFL","Financial Services","Aflac","7.83;7.85;7.79;7.76;0.00","1.88;1.89;1.87;1.88;0.00","7.35;7.37;7.31;7.36;0.00","1.82;1.80;1.78;1.82;0.00","","6","3","2","2","7","7","6","1","Insurance - Life","3.0%","1.6%","0.6%","-1.7%","4.0%","0.6%","-13.5%","6.0%","1.0%","61.9%","62.4%"
"Summary"," "," "," "," "," "," "," ","6","3","2","2","7","7","6","1"," ","3.0%","1.6%","0.6%","-1.7%","4.0%","0.6%","-13.5%","6.0%","1.0%","61.9%","62.4%"
"Insurance - Property & Casualty (6 Stocks)"
"ALL","Financial Services","Allstate","24.24;24.31;24.63;25.11;0.00","4.30;4.26;4.22;4.40;0.00","24.14;24.12;24.34;25.03;0.00","6.88;6.90;6.91;7.07;0.00","","1","2","1","1","3","3","6","4","Insurance - Property & Casualty","4.1%","1.7%","1.5%","5.6%","7.1%","1.8%","-8.6%","5.3%","5.0%","26.6%","6.8%"
"PGR","Financial Services","Progressive","16.36;16.28;16.20;16.12;0.00","3.89;3.81;3.77;3.76;0.00","16.30;16.11;15.96;16.07;0.00","4.48;4.42;4.33;4.64;0.00","","2","4","1","1","6","4","1","3","Insurance - Property & Casualty","-0.1%","1.3%","0.6%","6.9%","2.1%","-12.7%","-39.1%","-18.5%","-14.9%","75.1%","413.9%"
"TRV","Financial Services","Travelers Companies","27.98;27.98;28.27;28.27;0.00","4.88;4.94;4.85;4.85;0.00","26.69;26.70;27.17;27.24;0.00","7.02;7.06;6.99;6.89;0.00","","1","6","2","2","6","4","3","5","Insurance - Property & Casualty","7.1%","1.2%","1.3%","4.4%","11.1%","7.6%","2.8%","8.4%","3.6%","34.3%","-52.5%"
"CINF","Financial Services","Cincinnati Financial","9.24;9.24;9.24;9.22;0.00","1.66;1.66;1.65;1.68;0.00","8.57;8.57;8.54;8.55;0.00","2.01;2.01;2.00;2.00;0.00","","3","1","1","2","9","5","5","1","Insurance - Property & Casualty","2.8%","0.8%","2.9%","-1.4%","4.0%","4.4%","1.4%","12.0%","-25.5%","-8.5%","-63.0%"
"AFG","Financial Services","American Financial Group","12.13;12.16;12.13;12.03;0.00","2.45;2.46;2.48;2.45;0.00","11.38;11.40;11.35;11.09;0.00","2.66;2.66;2.63;2.56;0.00","","1","3","3","5","6","4","6","7","Insurance - Property & Casualty","-1.0%","0.7%","0.3%","3.7%","2.1%","-6.6%","-9.6%","-20.7%","-55.0%","6.1%","-1.7%"
"CB","Financial Services","Chubb","28.51;28.50;28.65;28.95;0.00","6.60;6.59;6.58;6.69;0.00","26.25;26.25;26.37;26.84;0.00","6.55;6.56;6.56;6.57;0.00","","3","7","2","4","9","7","2","3","Insurance - Property & Casualty","6.6%","0.0%","-1.7%","1.9%","13.2%","14.5%","-2.7%","-0.9%","-8.6%","18.4%","-60.7%"
"Summary"," "," "," "," "," "," "," ","2","4","2","3","7","5","4","4"," ","3.3%","0.9%","0.8%","3.5%","6.6%","1.5%","-9.3%","-2.4%","-15.9%","25.3%","40.5%"
"Internet Content & Information (2 Stocks)"
"SPOT","Communication Services","Spotify Technology","15.95;15.93;15.88;16.26;0.00","2.85;2.86;2.83;2.92;0.00","12.07;12.21;12.23;13.07;0.00","2.65;2.65;2.64;2.86;0.00","","4","3","2","2","7","5","4","5","Internet Content & Information","-1.1%","3.7%","11.8%","36.5%","1.7%","-24.7%","-14.8%","75.6%","274.0%","17.6%","- "
"META","Communication Services","Meta Platforms","33.29;33.25;34.32;34.34;0.00","7.08;7.05;7.08;7.13;0.00","29.68;29.62;29.60;29.60;0.00","6.32;6.31;6.36;6.60;0.00","","3","1","1","2","8","5","1","5","Internet Content & Information","-0.8%","-1.0%","1.5%","0.3%","-2.6%","-18.8%","-15.8%","-4.5%","178.0%","57.7%","201.2%"
"Summary"," "," "," "," "," "," "," ","4","2","2","2","8","5","3","5"," ","-0.9%","1.3%","6.6%","18.4%","-0.5%","-21.7%","-15.3%","35.5%","226.0%","37.6%","201.2%"
"Integrated Freight & Logistics (5 Stocks)"
"EXPD","Industrials","Expeditors International","6.55;6.49;6.50;6.50;0.00","1.49;1.49;1.49;1.49;0.00","5.96;5.96;6.05;6.05;0.00","1.34;1.34;1.38;1.38;0.00","","4","1","5","1","8","5","7","4","Integrated Freight & Logistics","0.1%","1.4%","3.3%","-8.2%","-1.4%","17.5%","4.3%","-11.0%","-34.6%","-26.9%","-43.0%"
"CHRW","Industrials","C.H. Robinson Worldwide","6.80;6.82;7.15;7.16;0.00","1.54;1.54;1.53;1.53;0.00","5.95;5.99;6.05;6.05;0.00","1.31;1.31;1.26;1.26;0.00","","4","9","3","1","7","6","5","6","Integrated Freight & Logistics","13.7%","-1.1%","-0.7%","-7.4%","16.3%","38.9%","68.9%","125.6%","19.1%","26.7%","-85.9%"
"FDX","Industrials","FedEx","20.84;21.18;21.25;21.66;0.00","5.98;5.85;5.82;5.85;0.00","18.12;18.48;18.51;18.59;0.00","4.18;4.01;3.99;4.05;0.00","","3","2","5","3","6","5","4","7","Integrated Freight & Logistics","25.9%","-2.5%","-5.2%","0.0%","33.2%","54.9%","28.3%","15.7%","9.1%","-34.7%","-106.6%"
"LSTR","Industrials","Landstar System","6.98;6.91;6.71;6.71;0.00","1.36;1.37;1.33;1.34;0.00","5.48;5.47;5.30;5.34;0.00","1.19;1.19;1.12;1.13;0.00","","4","3","2","3","7","6","6","3","Integrated Freight & Logistics","8.9%","-3.5%","-4.8%","-3.3%","10.2%","12.6%","-21.5%","-48.7%","-83.8%","-84.8%","-110.8%"
"JBHT","Industrials","JB Hunt Transport Servs","8.42;8.60;8.84;8.84;0.00","1.70;1.69;1.69;1.69;0.00","7.03;7.06;7.22;7.22;0.00","1.43;1.43;1.45;1.45;0.00","","4","8","3","1","8","6","5","5","Integrated Freight & Logistics","11.6%","-4.4%","-6.6%","-3.6%","15.1%","44.6%","14.1%","-26.2%","-54.7%","-44.4%","-102.9%"
"Summary"," "," "," "," "," "," "," ","4","5","4","2","7","6","5","5"," ","12.0%","-2.0%","-2.8%","-4.5%","14.7%","33.7%","18.8%","11.1%","-29.0%","-32.8%","-89.8%"
"Internet Retail (3 Stocks)"
"PDD","Consumer Cyclical","PDD Holdings","87.48;87.21;86.84;86.92;0.00","17.96;17.96;17.96;17.96;0.00","69.48;69.37;75.46;75.51;0.00","19.08;19.08;20.90;20.90;0.00","","1","9","3","1","7","3","4","2","Internet Retail","-8.5%","2.6%","0.3%","-0.3%","-11.7%","-22.8%","-33.7%","-47.9%","-64.5%","-123.0%","- "
"DASH","Consumer Cyclical","DoorDash","5.04;5.01;4.98;4.46;0.00","0.75;0.74;0.71;0.47;0.00","3.26;3.21;3.16;2.51;0.00","0.67;0.67;0.63;0.36;0.00","","4","3","5","4","9","5","4","4","Internet Retail","-19.3%","-1.0%","3.6%","1.0%","-18.8%","-32.0%","-19.4%","0.3%","147.0%","-69.7%","- "
"AMZN","Consumer Cyclical","Amazon.com","9.49;9.51;9.60;9.38;0.00","1.84;1.84;1.84;1.79;0.00","7.80;7.82;7.87;7.75;0.00","1.71;1.72;1.72;1.65;0.00","","3","2","2","2","8","7","1","4","Internet Retail","-6.1%","-1.3%","3.6%","4.2%","-5.5%","-12.8%","-12.6%","-12.4%","54.2%","-45.9%","343.5%"
"Summary"," "," "," "," "," "," "," ","3","5","3","2","8","5","3","3"," ","-11.3%","0.1%","2.5%","1.6%","-12.0%","-22.5%","-21.9%","-20.0%","45.6%","-79.5%","343.5%"
"Luxury Goods (1 Stock)"
"TPR","Consumer Cyclical","Tapestry","6.19;6.20;6.32;7.19;0.00","1.06;1.06;1.06;1.16;0.00","5.61;5.60;5.67;6.50;0.00","1.00;1.00;1.02;1.28;0.00","","4","2","4","3","9","5","4","9","Luxury Goods","14.7%","-2.1%","-5.0%","-2.2%","25.9%","34.6%","69.3%","186.6%","186.8%","202.5%","93.7%"
"Summary"," "," "," "," "," "," "," ","4","2","4","3","9","5","4","9"," ","14.7%","-2.1%","-5.0%","-2.2%","25.9%","34.6%","69.3%","186.6%","186.8%","202.5%","93.7%"
"Marine Shipping (1 Stock)"
"KEX","Industrials","Kirby","7.51;7.50;7.48;8.21;0.00","1.77;1.77;1.78;1.79;0.00","6.97;6.98;6.97;7.00;0.00","1.54;1.54;1.54;1.57;0.00","","4","7","4","5","8","7","5","4","Marine Shipping","17.4%","-0.7%","0.3%","7.0%","14.6%","38.7%","11.4%","8.3%","-3.1%","8.5%","-190.5%"
"Summary"," "," "," "," "," "," "," ","4","7","4","5","8","7","5","4"," ","17.4%","-0.7%","0.3%","7.0%","14.6%","38.7%","11.4%","8.3%","-3.1%","8.5%","-190.5%"
"Medical Distribution (3 Stocks)"
"CAH","Healthcare","Cardinal Health","11.07;11.08;11.29;11.55;0.00","2.29;2.29;2.35;2.34;0.00","9.79;9.83;10.02;10.30;0.00","2.69;2.69;2.75;2.77;0.00","","3","7","4","7","4","2","1","9","Medical Distribution","7.8%","2.1%","-3.0%","-1.0%","11.4%","41.9%","54.8%","67.8%","134.6%","271.4%","-48.7%"
"COR","Healthcare","Cencora","19.49;19.44;19.43;19.62;0.00","4.34;4.34;4.32;4.30;0.00","17.65;17.60;17.59;17.62;0.00","4.92;4.91;4.89;4.75;0.00","","3","8","4","2","4","5","3","8","Medical Distribution","7.9%","1.1%","-1.7%","2.7%","7.3%","18.4%","23.4%","19.9%","62.0%","172.5%","71.4%"
"MCK","Healthcare","McKesson","43.81;43.82;43.79;44.22;0.00","9.77;9.76;9.75;9.72;0.00","38.67;38.68;38.68;39.02;0.00","11.33;11.34;11.34;11.58;0.00","","3","7","3","7","4","3","2","10","Medical Distribution","13.7%","0.0%","-4.8%","-0.2%","15.4%","29.4%","25.0%","41.3%","94.7%","351.9%","212.0%"
"Summary"," "," "," "," "," "," "," ","3","7","4","5","4","3","2","9"," ","9.8%","1.1%","-3.1%","0.5%","11.4%","29.9%","34.4%","43.0%","97.1%","265.3%","78.2%"
"Medical Care Facilities (4 Stocks)"
"DVA","Healthcare","DaVita","14.93;14.93;14.93;16.06;0.00","3.33;3.33;3.33;3.63;0.00","12.76;12.76;12.76;14.08;0.00","2.46;2.46;2.46;2.34;0.00","","1","3","5","6","5","3","3","9","Medical Care Facilities","34.2%","1.9%","-1.5%","9.8%","30.0%","4.8%","-11.4%","-21.1%","14.8%","-45.1%","-184.1%"
"HCA","Healthcare","HCA Healthcare","33.07;32.94;32.66;33.29;0.00","7.51;7.49;7.45;7.47;0.00","29.75;29.72;29.51;30.30;0.00","7.19;7.17;7.13;7.17;0.00","","2","1","3","6","7","4","2","10","Medical Care Facilities","15.7%","1.0%","2.6%","9.0%","11.2%","22.5%","48.0%","32.0%","43.7%","114.9%","385.5%"
"EHC","Healthcare","Encompass Health","6.27;6.27;6.28;6.28;0.00","1.46;1.46;1.46;1.46;0.00","5.76;5.76;5.77;5.78;0.00","1.48;1.48;1.49;1.49;0.00","","2","8","2","2","7","6","2","5","Medical Care Facilities","2.5%","0.7%","1.2%","4.3%","-3.2%","-19.1%","-10.8%","6.2%","26.5%","-9.4%","58.5%"
"THC","Healthcare","Tenet Healthcare","18.08;18.02;17.91;17.52;0.00","4.07;4.06;4.03;4.21;0.00","16.42;16.42;16.27;16.88;0.00","4.42;4.40;4.41;4.17;0.00","","2","5","2","2","5","3","4","7","Medical Care Facilities","20.8%","-0.5%","1.0%","20.4%","14.4%","16.2%","70.1%","108.1%","222.9%","252.6%","477.7%"
"Summary"," "," "," "," "," "," "," ","2","4","3","4","6","4","3","8"," ","18.3%","0.8%","0.8%","10.9%","13.1%","6.1%","23.9%","31.3%","76.9%","78.2%","184.4%"
"Medical Instruments & Supplies (6 Stocks)"
"WST","Healthcare","West Pharmaceutical Servs","8.88;8.89;8.79;8.83;0.00","1.95;1.95;1.95;1.95;0.00","7.78;7.79;7.75;7.76;0.00","1.66;1.65;1.66;1.66;0.00","","2","4","2","2","7","5","4","3","Medical Instruments & Supplies","-9.0%","2.0%","-1.3%","1.5%","-10.6%","-6.4%","-12.8%","-65.5%","-96.6%","-93.1%","-1.9%"
"ALGN","Healthcare","Align Technology","11.86;11.86;11.94;12.26;0.00","2.68;2.68;2.71;2.75;0.00","10.95;10.95;11.05;11.30;0.00","2.41;2.42;2.44;2.26;0.00","","1","5","5","2","6","4","4","3","Medical Instruments & Supplies","13.0%","0.4%","-6.4%","-4.5%","12.3%","20.5%","-17.7%","-78.0%","-121.4%","-155.5%","-150.7%"
"RMD","Healthcare","ResMed","12.02;12.03;12.05;12.18;0.00","2.87;2.88;2.88;2.89;0.00","10.90;10.91;10.92;11.03;0.00","2.77;2.77;2.77;2.81;0.00","","1","4","4","1","8","3","1","3","Medical Instruments & Supplies","6.8%","0.4%","0.7%","-3.9%","0.4%","-12.9%","-5.4%","4.4%","-54.5%","-45.3%","92.3%"
"ISRG","Healthcare","Intuitive Surgical","11.13;11.16;11.44;11.43;0.00","2.42;2.42;2.48;2.48;0.00","9.66;9.70;10.02;10.01;0.00","2.12;2.12;2.12;2.12;0.00","","3","3","3","1","9","6","1","1","Medical Instruments & Supplies","-11.9%","0.0%","-0.6%","3.2%","-13.2%","0.4%","-27.8%","-9.0%","35.5%","18.2%","375.1%"
"BDX","Healthcare","Becton Dickinson","15.90;15.88;15.85;13.49;0.00","3.97;3.97;4.00;3.07;0.00","14.93;14.94;14.94;12.54;0.00","3.37;3.37;3.31;2.78;0.00","","1","3","5","4","5","2","6","7","Medical Instruments & Supplies","11.0%","-0.3%","-3.3%","4.0%","11.9%","7.4%","-21.9%","-40.6%","-76.9%","-89.9%","-220.4%"
"TFX","Healthcare","Teleflex","16.61;16.65;16.76;16.73;0.00","3.78;3.81;3.80;3.83;0.00","15.18;15.20;15.21;15.24;0.00","3.12;3.12;3.11;3.14;0.00","","2","5","7","8","5","3","5","8","Medical Instruments & Supplies","-5.3%","-2.0%","-4.9%","7.6%","-4.1%","-17.4%","-34.5%","-83.9%","-123.5%","-158.8%","-315.9%"
"Summary"," "," "," "," "," "," "," ","2","4","4","3","7","4","4","4"," ","0.8%","0.1%","-2.6%","1.3%","-0.5%","-1.4%","-20.0%","-45.4%","-72.9%","-87.4%","-36.9%"
"Medical Devices (4 Stocks)"
"MASI","Healthcare","Masimo","6.58;6.61;6.57;6.57;0.00","1.39;1.39;1.39;1.39;0.00","5.89;5.90;5.90;5.90;0.00","1.43;1.43;1.43;1.43;0.00","","2","3","4","5","6","3","2","6","Medical Devices","36.4%","1.3%","2.1%","28.9%","25.4%","14.6%","-18.9%","0.0%","-76.3%","-111.8%","59.2%"
"PEN","Healthcare","Penumbra","6.37;6.40;6.43;6.42;0.00","1.20;1.20;1.20;1.17;0.00","5.01;5.02;5.05;5.01;0.00","1.09;1.09;1.08;1.03;0.00","","4","3","1","1","7","3","2","3","Medical Devices","10.5%","0.8%","0.4%","2.1%","14.2%","15.7%","3.1%","0.5%","-40.3%","-61.1%","345.4%"
"SYK","Healthcare","Stryker","16.71;16.72;16.73;16.73;0.00","3.48;3.48;3.46;3.46;0.00","14.95;14.95;14.97;14.97;0.00","3.07;3.07;3.00;3.00;0.00","","2","8","2","2","6","3","1","6","Medical Devices","5.3%","-0.3%","-3.9%","4.5%","2.0%","-11.2%","-22.6%","-30.7%","-32.9%","-28.1%","-3.7%"
"TMDX","Healthcare","TransMedics Group","3.94;3.69;3.69;3.69;0.00","0.83;0.85;0.85;0.85;0.00","2.96;2.91;2.91;2.91;0.00","0.71;0.70;0.70;0.70;0.00","","2","4","1","1","7","3","2","7","Medical Devices","8.1%","-6.1%","-8.8%","-1.3%","-3.4%","20.0%","79.7%","19.0%","-13.1%","219.9%","- "
"Summary"," "," "," "," "," "," "," ","3","5","2","2","7","3","2","6"," ","15.1%","-1.1%","-2.6%","8.5%","9.6%","9.8%","10.3%","-2.8%","-40.6%","4.7%","133.6%"
"Metal Fabrication (1 Stock)"
"CRS","Industrials","Carpenter Technology","11.18;11.33;11.33;11.33;0.00","2.88;2.88;2.91;2.89;0.00","10.05;10.12;10.14;10.14;0.00","2.55;2.56;2.55;2.56;0.00","","7","7","1","1","9","6","3","3","Metal Fabrication","24.6%","-0.7%","-0.7%","8.8%","27.7%","52.1%","89.9%","463.6%","618.0%","803.6%","1051.0%"
"Summary"," "," "," "," "," "," "," ","7","7","1","1","9","6","3","3"," ","24.6%","-0.7%","-0.7%","8.8%","27.7%","52.1%","89.9%","463.6%","618.0%","803.6%","1051.0%"
"Oil & Gas Integrated (2 Stocks)"
"XOM","Energy","Exxon Mobil","8.81;8.63;8.18;8.36;0.00","1.86;1.77;1.68;1.68;0.00","7.45;7.18;6.87;6.94;0.00","1.70;1.66;1.50;1.51;0.00","","7","5","2","4","9","8","4","2","Oil & Gas Integrated","28.0%","1.6%","1.2%","4.9%","32.2%","36.0%","26.5%","16.1%","-26.1%","112.6%","-113.9%"
"CVX","Energy","Chevron","10.05;9.84;8.94;9.16;0.00","1.93;1.89;1.65;1.66;0.00","7.84;7.53;6.72;6.79;0.00","1.82;1.80;1.50;1.50;0.00","","7","3","3","5","8","8","4","2","Oil & Gas Integrated","27.4%","1.4%","3.7%","8.8%","29.5%","21.6%","10.9%","4.3%","-43.4%","26.6%","-67.5%"
"Summary"," "," "," "," "," "," "," ","7","4","3","5","9","8","4","2"," ","27.7%","1.5%","2.4%","6.9%","30.8%","28.8%","18.7%","10.2%","-34.8%","69.6%","-90.7%"
"Oil & Gas Midstream (3 Stocks)"
"LNG","Energy","Cheniere Energy","14.71;14.71;14.65;14.65;0.00","3.02;3.02;2.96;2.84;0.00","14.35;14.35;14.31;14.31;0.00","3.58;3.58;3.48;3.44;0.00","","5","1","2","1","6","5","3","5","Oil & Gas Midstream","33.1%","3.6%","10.3%","22.5%","26.0%","4.2%","0.8%","34.0%","-5.3%","179.5%","303.9%"
"DTM","Energy","DT Midstream","5.31;5.31;5.31;5.18;0.00","1.12;1.12;1.11;1.17;0.00","4.81;4.83;4.80;4.81;0.00","1.13;1.13;1.12;1.19;0.00","","5","2","2","2","9","6","1","2","Oil & Gas Midstream","19.8%","1.2%","4.0%","12.9%","18.9%","31.8%","44.0%","125.4%","142.8%","- ","- "
"TRGP","Energy","Targa Resources","10.93;10.98;10.61;11.05;0.00","2.22;2.22;2.18;2.18;0.00","9.88;9.75;9.83;10.17;0.00","2.38;2.38;2.33;2.33;0.00","","6","7","3","1","6","7","4","5","Oil & Gas Midstream","30.8%","0.6%","2.6%","15.0%","33.5%","43.2%","14.6%","102.2%","150.4%","571.6%","868.5%"
"Summary"," "," "," "," "," "," "," ","5","3","2","1","7","6","3","4"," ","27.9%","1.8%","5.6%","16.8%","26.1%","26.4%","19.8%","87.2%","95.9%","375.5%","586.2%"
"Oil & Gas E&P (3 Stocks)"
